Group_1,Group_2,Mean_Difference,p_adj,CI_95_Lower,CI_95_Upper,Reject_H0
3,4,0.3101,0.9231,-0.589,1.2092,False
3,5,-0.0553,1.0,-0.886,0.7754,False
3,6,0.6745,0.1883,-0.1566,1.5056,False
3,7,1.5109,0.0,0.6658,2.3561,True
3,8,2.1394,0.0,1.1109,3.168,True
4,5,-0.3654,0.0574,-0.7373,0.0065,False
4,6,0.3644,0.0597,-0.0084,0.7372,False
4,7,1.2008,0.0,0.7977,1.6039,True
4,8,1.8294,0.0,1.1179,2.5408,True
5,6,0.7298,0.0,0.5861,0.8735,True
5,7,1.5662,0.0,1.3561,1.7764,True
5,8,2.1947,0.0,1.572,2.8175,True
6,7,0.8364,0.0,0.6247,1.0481,True
6,8,1.4649,0.0,0.8416,2.0882,True
7,8,0.6285,0.0589,-0.0133,1.2704,False
